id,source,scope,category,vendor,model,body_width_m,face_width_m,height_m,depth_m,u_height,mass_kg,asset_format,asset_source,asset_location,price_usd,reference,note,quality_flags
dell-unity-xt380,real_equipment_oic_tb,include,storage_array,Dell EMC,Unity XT 380,0.4476,0.4826,0.0888,0.6139,2,24.6,,,,,notion-file:e0710c03;notion:39d01c44dafb80eda6cdc5726313334a,공식 스펙시트 h17713 DPE(25x2.5) 기준. 구값(0.3302/20.23kg)은 DAE 스펙과 일치했던 오기,dims_from_xt_spec_sheet_dpe;mass_empty_enclosure_drives_excluded
mitac-ft83-4u-gpu,real_equipment_oic_tb,include,gpu_server,MiTAC,B7119F83V8E4HR-2T-NS (Thunder HX FT83),0.43942,0.4826,0.17526,0.83058,4,39.3,,,,,notion-file:1eb3c826;notion:39d01c44dafb80ee985efab7baaadd36,로드쇼 시연 장비(1층 실증센터),physical_access;inches_converted;lbs_converted
cg-server-rack-2010,free_3d_model,include,server_rack,,Server Rack (serverRack_2010),,,,,,,zip,cgtrader,notion-attachment,,notion:39e01c44dafb801384bfe35601505145,,dims_missing
siemens-6gk5334,free_3d_model,include,network_switch,,SIEMENS 6GK5334-5TS00-2AR3,0.446,0.4826,0.0436,0.3748,1,8.0,glb,3dfindit,notion-attachment,,notion:39e01c44dafb801cb102d10fe6f58c66,,
siemens-6gk5532,free_3d_model,include,network_switch,,SIEMENS 6GK5532-2SR00-3AR3,0.446,0.4826,0.0436,0.3748,1,8.2,glb,3dfindit,notion-attachment,,notion:39e01c44dafb802285d4f96d53a96090,,
cg-dell-poweredge-rack,free_3d_model,skip,rack_with_servers,,Data Server Rack Dell PowerEdge,,,,,,,fbx,cgtrader,notion-attachment,,notion:39e01c44dafb802eb840c4ef4a88de5f,랙+서버 복합 | 제외: composite: 랙+서버 복합,excluded_2026-07-15
cg-server-room-01,free_3d_model,skip,server_room,,Server Room 01_05,,,,,,,glb,cgtrader,notion-attachment,,notion:39e01c44dafb803c9a76e4697d7b8bf0,서버실 전체,SKIP_scene_scope
cg-juniper-ex4550,free_3d_model,include,network_switch,,Juniper EX4550,,,,,,,skp,cgtrader,notion-attachment,,notion:39e01c44dafb8045973af8c0a1d3cc1d,,dims_missing
cg-server-rack-4002422,free_3d_model,skip,rack_with_servers,,Server Rack (4002422),,,,,,,fbx,cgtrader,notion-attachment,,notion:39e01c44dafb805b86f4c682bf069a82,랙+서버 복합 | 제외: composite: 랙+서버 복합,excluded_2026-07-15
gc-rack-server-module,free_3d_model,include,rack_console,,Rack Server Module,,,,,,,cad,grabcad,오프라인 전달 필요,,notion:39e01c44dafb809b9b00f1f0b0a8bdad,파일 업로드 불가,file_offline_only
cg-storage-server-led,free_3d_model,include,storage_server,,Storage Server (LED ON),,,,,,,blend,cgtrader,notion-attachment,,notion:39e01c44dafb80a59be2c456e11931e3,,dims_missing
cg-juniper-9204,free_3d_model,include,network_switch,,Juniper 9204,,,,,,,skp,cgtrader,notion-attachment,,notion:39e01c44dafb80b194f1ca186071704b,,dims_missing
cg-hp-desktop,free_3d_model,skip,desktop,,HP Desktop,,,,,,,fbx,cgtrader,notion-attachment,,notion:39e01c44dafb80cf9801e0cbb754b673,제외: 국사 장비 아님(데스크톱),dims_missing;excluded_2026-07-15
gc-supercomputador,free_3d_model,skip,rack_with_servers,,Supercomputador,,,,,,,iam,grabcad,notion-attachment,,notion:39e01c44dafb80d1818be2395e656c35,"랙+서버 복합, Inventor 포맷 | 제외: composite: 랙+서버 복합",needs_format_conversion;excluded_2026-07-15
cg-juniper-ex3300,free_3d_model,include,network_switch,,Juniper EX3300,,,,,,,skp,cgtrader,notion-attachment,,notion:39e01c44dafb80e0a945d518c6d5b837,,dims_missing
paid-dell-rack-set,paid_3d_model,skip,rack_with_servers,,Data Server and Network Rack,,,,,,,,cgtrader,onedrive,85.0,notion:39e01c44dafb8002a7ffcdacf031fda6,제외: composite: 랙+서버+네트워크 복합,excluded_2026-07-15
paid-server-room-hd,paid_3d_model,skip,server_room,,Server Room HD,,,,,,,,cgtrader,nas:PAI_SIM_DATA/3D_Model/Server_Room,9.5,notion:39e01c44dafb8028ad86e41703c9bd82,서버실 전체,SKIP_scene_scope
paid-2u-server,paid_3d_model,include,server,,2U Server,,,,,,,,cgtrader,onedrive,4.5,notion:39e01c44dafb803c88aecedde4ce7f3f,,
paid-firewall-switch,paid_3d_model,skip,security_gateway,,Network Firewall and Switch,,,,,,,,cgtrader,onedrive,19.5,notion:39e01c44dafb809faa0ee0caccb3b7c9,제외: 독립 장비 2대(방화벽형 소형+대형)가 한 자산에 묶임,excluded_2026-07-15
paid-patch-panel-rack,paid_3d_model,include,patch_panel,,Network Patch Panel Rack,,,,,,,,cgtrader,nas:PAI_SIM_DATA/3D_Model/Network_Patch_Panel,18.5,notion:39e01c44dafb80a19148fdfa01a2a65c,,
paid-cisco-cat3750g48,paid_3d_model,include,network_switch,,Cisco Catalyst 3750G-48,,,,,,,,cgtrader,onedrive,7.0,notion:39e01c44dafb80a7b199e4d25e94f765,,
paid-cisco-cat3750x,paid_3d_model,include,network_switch,,Catalyst 3750 X Switch Router,,,,,,,,cgtrader,onedrive,9.9,notion:39e01c44dafb80adb17dc4f487dd2b53,,
paid-rackmount-switch,paid_3d_model,include,network_switch,,Rackmount Network Switch (low-poly),,,,,,,,cgtrader,nas:PAI_SIM_DATA/3D_Model/Rackmount_Network_Switch,18.5,notion:39e01c44dafb80dd8515d39a986bf2f4,,
arista-7050s-52,real_equipment_oic_tb,include,network_switch,Arista,7050S-52,0.445,0.4826,0.044,0.406,1,7.71,,,,,articraft:rec_two-corrections-against-the-reference-photos-of-_20260731_025340_300105_2aef4233,OIC TB 실물(2026-07-31 등재). 정면 배열: SFP+ 16x3그룹 + 우측 2x2(49-52)+USB+RJ45 2단. 레퍼런스 domain/experiments/ref_images/7050s52_*.png,dims_from_vendor_datasheet
dell-emc-unity-300,real_equipment_oic_tb,include,storage_array,Dell EMC,Unity 300,0.4445,0.4826,0.0864,0.6139,2,20.0,,,,,articraft:rec_fix-z-fighting-on-the-top-of-the-chassis-the-top_20260730_075515_274145_b2a7f9d0,OIC TB 실물(2026-08-03 등재). 25-drive DPE 공식값(support.dell.com). 레퍼런스 domain/experiments/ref_images/unity300.png,dims_from_dell_manual_dpe
gaon-cat6-pp24,real_equipment_oic_tb,include,patch_panel,Gaon Cable,CAT.6 Patch Panel 24P,,0.4826,0.04445,0.032,1,0.75,urdf,articraft,data/records,,articraft:rec_fix-one-z-fighting-issue-found-by-a-coplanarity-_20260803_053816_575316_63efac50,OIC TB 실물(2026-08-03 등재). Ted 실측: 본체 깊이 32mm·후면 브래킷 포함 92~98mm·0.6~0.9kg(중앙값 0.75 채용). 레퍼런스 domain/experiments/ref_images/gaon_cat6_pp24.png,dims_field_measured
aten-cl5716n,real_equipment_oic_tb,include,kvm_console,ATEN,CL5716N,0.480,0.4826,0.044,0.6892,1,13.65,urdf,articraft,data/records,,articraft:rec_three-remaining-z-fighting-seams-found-by-the-co_20260803_054038_761883_3d9b32e6,OIC TB 실물(2026-08-03 등재). 공식 데이터시트(19인치 LCD Slideaway). 관절 2개: 서랍 프리즘 + LCD 힌지. 레퍼런스 domain/experiments/ref_images/cl5716.jpg,dims_from_vendor_datasheet
lacing-bar-offset-1u,real_equipment_oic_tb,include,rack_accessory,,Cable Lacing Bar 1U (offset channel),,0.4826,0.04445,0.052,1,0.5,urdf,articraft,data/records,,articraft:rec_a-1u-19-inch-rack-cable-lacing-bar-in-galvanized_20260804_004830_605372_3be58233,OIC TB 실물(2026-08-04 등재). 18/20/22/24홀 4변형(20:f4913d09·22:b40774de·24:f3b86c08). Z브래킷 후방 오프셋 ~50mm·햇채널 강판. 레퍼런스 ref_images/lacing_bar_1u.jpg,dims_estimated_from_photo;mass_borrowed_from_startech_12s
lacing-bar-flat-1u,real_equipment_oic_tb,include,rack_accessory,,Cable Lacing Bar 1U (flat post-mount),,0.4826,0.022,0.002,,0.2,urdf,articraft,data/records,,articraft:rec_a-1u-19-inch-flat-rack-cable-lacing-bar-in-galva_20260804_013048_102845_2284effa,OIC TB 실물(2026-08-04 등재). 18/20/22/24슬롯 4변형(20:daa5cfb2·22:a930987e·24:e5c90887). 포스트 직결 평판. 레퍼런스 ref_images/lacing_bar_flat_1u.jpg,dims_estimated_from_photo
fortinet-fg601e,real_equipment_oic_tb,include,security_appliance,Fortinet,FortiGate 601E (FG-601E),0.432,0.4826,0.04445,0.380,1,7.5,urdf,articraft,data/records,,articraft:rec_one-omission-to-restore-from-the-reference-photo_20260804_041713_947974_ea2a88fb,OIC TB 실물(2026-08-04 등재). 치수·질량 Ted 제공. 스택 RJ45 미러 장착·포트 내부 색 구분·9x7 허니콤 벤트. 레퍼런스 ref_images/fg601e.jpg + fg601e_details.jpg,
netapp-naj1501,real_equipment_oic_tb,include,storage_shelf,NetApp,NAJ-1501 (bezel-on),0.447,0.4826,0.0864,0.484,2,24.4,urdf,articraft,data/records,,articraft:rec_three-corrections-from-the-field-close-up-refere_20260804_072325_158607_39d2deb3,OIC TB 실물(2026-08-04 등재). 베젤 장착·내부 비모델링. 공실 16kg/만재 24.4kg(만재 채용)·Shelf ID 18·은색 2겹 베젤(다이아 격자+파인 메시). 레퍼런스 ref_images/naj1501.jpg + naj1501_details.jpg,rear_panel_plain_no_reference
ac-server-rack-42u,reference_spec,include,server_rack,,42U Server Rack Cabinet (600x1070 swing-handle),0.6,,2.0,1.07,42,125.09,urdf,articraft,data/records,,articraft:rec_add-explicit-physical-mass-properties-to-every-l_20260731_021545_300093_6fe37d9f,AC 생성 기준 자산(실물 아님). 질량은 APC NetShelter SX AR3100(동급 42U 600x1070) 공표 빈 캐비닛 값 차용. 스윙핸들 도어 관절 패턴 템플릿,mass_borrowed_from_apc_ar3100
agilent-e7900a,real_equipment_oic_tb,include,network_tester,Agilent,E7900A RouterTester 900 (4-slot),0.425,,0.0881,0.5,,11.0,urdf,articraft,data/records,,articraft:rec_a-coplanarity-audit-flags-9-pairs-of-exactly-cop_20260805_054835_642322_daf4573e,OIC TB 실물(2026-08-05 등재). 프리스탠딩 벤치탑 계측기(엔드캡·랙이어 없음·현장서 서버 위 적재). 모듈 4장(E5216A+E7920A DS3+E7919A x2) 장착·RIP 표시. 레퍼런스 ~/Desktop 사진 4장 합성 시트. 치수는 사진 비례·동급 계측기 추정,dims_estimated;mass_estimated
